nome,uso
Chicória,Hortícolas
Chuchu,Culturas agrícolas
Cinco Folhas,Plantas medicinais e aromáticas
Ciriguela,Arbóreas frutíferas
Citronela,Plantas medicinais e aromáticas
Côco,Culturas agrícolas
Coentro,Hortícolas
Condessa,Arbóreas frutíferas
Confrei,Plantas medicinais e aromáticas
Copaíba,"Arbóreas madeira, sementes e produtos"
Couve,Hortícolas
Couve-chinesa,Hortícolas
Couve-Flor,Hortícolas
Couvechinesa,Hortícolas
Cupuaçu,Arbóreas frutíferas
Cúrcuma,Culturas agrícolas
Dendê,Culturas agrícolas
Embaúba,"Arbóreas madeira, sementes e produtos"
Eritrina,Arbóreas adubaçao verde e massa verde
Erva-Cidreira,Plantas medicinais e aromáticas
Erva-De-Bicho,Plantas medicinais e aromáticas
Erva-De-Passarinho,Plantas medicinais e aromáticas
Erva-Grossa,Plantas medicinais e aromáticas
Erva-Macaé,Plantas medicinais e aromáticas
Ervagambá,Plantas medicinais e aromáticas
Ervilha,Culturas agrícolas
Espada de São Jorge,Ornamentais
Espinafre,Hortícolas
Eucalipto,"Arbóreas madeira, sementes e produtos"
Feijão de corda,Culturas agrícolas
Feijão de porco,Arbóreas adubaçao verde e massa verde
Feijão de vagem,Culturas agrícolas
Feijão guandu,Culturas agrícolas
Feijão vagem,Culturas agrícolas
Figo,Arbóreas frutíferas
Figueira,"Arbóreas madeira, sementes e produtos"
Flores,Hortícolas
Fruta-Do-Conde,Arbóreas frutíferas
Fruta-Pão,Arbóreas frutíferas
Tabaco,Culturas agrícolas
Gengibre,Hortícolas
Gergelim,Culturas agrícolas
Girassol,Culturas agrícolas
Gliricídia,Arbóreas adubaçao verde e massa verde
Goiaba,Arbóreas frutíferas
Graviola,Arbóreas frutíferas
Grumixama,"Arbóreas madeira, sementes e produtos"
Guabiroba,"Arbóreas madeira, sementes e produtos"
Guaco,Plantas medicinais e aromáticas
Guapuruvu,"Arbóreas madeira, sementes e produtos"
Guiné,Plantas medicinais e aromáticas
Hortelã,Plantas medicinais e aromáticas
Hortelã-Pimenta,Plantas medicinais e aromáticas
Imburana,"Arbóreas madeira, sementes e produtos"
Indaiá,Arbóreas frutíferas
Ingá,"Arbóreas madeira, sementes e produtos"
Ingácipó,"Arbóreas madeira, sementes e produtos"
Inhame,Culturas agrícolas
Ipê,"Arbóreas madeira, sementes e produtos"
Jabuticaba,Arbóreas frutíferas
Jaca,Arbóreas frutíferas
Jacarandá,"Arbóreas madeira, sementes e produtos"
Jacatirão,"Arbóreas madeira, sementes e produtos"
Jambo,Arbóreas frutíferas
Jambo vermelho,Arbóreas frutíferas
Jamelão,Arbóreas frutíferas
Jasmin,Plantas medicinais e aromáticas
Jatobá,"Arbóreas madeira, sementes e produtos"
Jenipapo,Arbóreas frutíferas
Jiló,Hortícolas
Jurubeba,Plantas medicinais e aromáticas
Jussara,"Arbóreas madeira, sementes e produtos"
Lágrima de nossa senhora,Plantas medicinais e aromáticas
Laranja,Arbóreas frutíferas
Leucena,Arbóreas adubaçao verde e massa verde
Limão,Arbóreas frutíferas
Lixia,Arbóreas frutíferas
Louro,"Arbóreas madeira, sementes e produtos"
Macaúba,Arbóreas frutíferas
Mamão,Culturas agrícolas
Mamica,"Arbóreas madeira, sementes e produtos"
Mamona,Culturas agrícolas
Mandioca,Culturas agrícolas
Manga,Arbóreas frutíferas
Mangaba,Arbóreas frutíferas
Manjericão,Plantas medicinais e aromáticas
Maracujá,Culturas agrícolas
Maracujá doce,Culturas agrícolas
Maracujá roxo,Culturas agrícolas
Margaridão,Arbóreas adubaçao verde e massa verde
Mastruz,Plantas medicinais e aromáticas
Maxixe,Hortícolas
Melancia,Culturas agrícolas
Melão,Culturas agrícolas
Melão-De-São-Caetano,Plantas medicinais e aromáticas
Milho,Culturas agrícolas
Mirra,Plantas medicinais e aromáticas
Mogno,"Arbóreas madeira, sementes e produtos"
Moranga,Culturas agrícolas
Morango,Hortícolas
Mostarda,Hortícolas
Munguba,"Arbóreas madeira, sementes e produtos"
Mussambê,Plantas medicinais e aromáticas
Mutamba,"Arbóreas madeira, sementes e produtos"
Nabo,Hortícolas
Néspera,Arbóreas frutíferas
Nirá,Hortícolas
Ora-Pró-Nóbis,Hortícolas
Orégano,Plantas medicinais e aromáticas
Orelha-Demacaco,"Arbóreas madeira, sementes e produtos"
Paineira,"Arbóreas madeira, sementes e produtos"
Palmeira-Real,"Arbóreas madeira, sementes e produtos"
Palmeiras (Açai,"Arbóreas madeira, sementes e produtos"
Pau-Cigarra,"Arbóreas madeira, sementes e produtos"
Pau-D’alho,"Arbóreas madeira, sementes e produtos"
Pau-Ferro,"Arbóreas madeira, sementes e produtos"
Pau-Jacaré,"Arbóreas madeira, sementes e produtos"
Pau-Mulato,"Arbóreas madeira, sementes e produtos"
Paubrasil,"Arbóreas madeira, sementes e produtos"
Pepino,Culturas agrícolas
Physalis,Hortícolas
Piaçava,Culturas agrícolas
Pimenta,Hortícolas
Pimentão,Hortícolas
Pinus,"Arbóreas madeira, sementes e produtos"
Pitaia,Culturas agrícolas
Pitanga,Arbóreas frutíferas
Pitomba,Arbóreas frutíferas
Poejo,Plantas medicinais e aromáticas
Pupunha),"Arbóreas madeira, sementes e produtos"
Quiabo,Culturas agrícolas
Rabanete,Hortícolas
Repolho,Hortícolas
Romã,Arbóreas frutíferas
Rúcula,Hortícolas
Sabugueiro,"Arbóreas madeira, sementes e produtos"
Saião,Plantas medicinais e aromáticas
Salsa,Hortícolas
Salsinha,Hortícolas
Sálvia,Plantas medicinais e aromáticas
Samanéia,Arbóreas adubaçao verde e massa verde
Sangra D’Água,Plantas medicinais e aromáticas
Sapoti,Arbóreas frutíferas
Serralha,Hortícolas
Siriguela,Arbóreas frutíferas
Sisal,Culturas agrícolas
Soja,Culturas agrícolas
Sombreiro,"Arbóreas madeira, sementes e produtos"
Taioba,Hortícolas
Taiúva,"Arbóreas madeira, sementes e produtos"
Tamarindo,Arbóreas frutíferas
Tangerina,Arbóreas frutíferas
Tansagem,Plantas medicinais e aromáticas
Teca,"Arbóreas madeira, sementes e produtos"
Terramicina,Plantas medicinais e aromáticas
Tomate,Hortícolas
Tomilho,Hortícolas
Trapoeraba,Hortícolas
Trevo,Hortícolas
Umbu,Arbóreas frutíferas
Urucum,Arbóreas adubaçao verde e massa verde
Uvaia,"Arbóreas madeira, sementes e produtos"
Vagem,Hortícolas
Vassourão,"Arbóreas madeira, sementes e produtos"
Vick,Plantas medicinais e aromáticas
Zedoária,Plantas medicinais e aromáticas
